block_start_ist,mcp_rs_per_mwh
2026-08-17T00:00:00+05:30,3900.36
2026-08-17T00:15:00+05:30,3741.17
2026-08-17T00:30:00+05:30,3619.99
2026-08-17T00:45:00+05:30,3690.62
2026-08-17T01:00:00+05:30,3329.89
2026-08-17T01:15:00+05:30,3325.56
2026-08-17T01:30:00+05:30,3297.57
2026-08-17T01:45:00+05:30,3259.82
2026-08-17T02:00:00+05:30,2999.94
2026-08-17T02:15:00+05:30,2999.15
2026-08-17T02:30:00+05:30,2999.70
2026-08-17T02:45:00+05:30,3013.35
2026-08-17T03:00:00+05:30,2999.08
2026-08-17T03:15:00+05:30,2845.85
2026-08-17T03:30:00+05:30,2845.76
2026-08-17T03:45:00+05:30,2845.43
2026-08-17T04:00:00+05:30,2999.18
2026-08-17T04:15:00+05:30,2999.99
2026-08-17T04:30:00+05:30,3013.39
2026-08-17T04:45:00+05:30,3084.08
2026-08-17T05:00:00+05:30,3349.43
2026-08-17T05:15:00+05:30,4000.78
2026-08-17T05:30:00+05:30,4363.76
2026-08-17T05:45:00+05:30,4529.32
2026-08-17T06:00:00+05:30,4999.79
2026-08-17T06:15:00+05:30,5726.57
2026-08-17T06:30:00+05:30,10000.00
2026-08-17T06:45:00+05:30,6909.79
2026-08-17T07:00:00+05:30,5099.14
2026-08-17T07:15:00+05:30,4515.06
2026-08-17T07:30:00+05:30,3998.80
2026-08-17T07:45:00+05:30,3550.35
2026-08-17T08:00:00+05:30,3250.21
2026-08-17T08:15:00+05:30,2999.68
2026-08-17T08:30:00+05:30,2510.59
2026-08-17T08:45:00+05:30,2130.30
2026-08-17T09:00:00+05:30,1892.62
2026-08-17T09:15:00+05:30,1800.58
2026-08-17T09:30:00+05:30,1750.96
2026-08-17T09:45:00+05:30,1400.77
2026-08-17T10:00:00+05:30,1111.78
2026-08-17T10:15:00+05:30,1111.60
2026-08-17T10:30:00+05:30,1111.48
2026-08-17T10:45:00+05:30,1111.51
2026-08-17T11:00:00+05:30,1111.45
2026-08-17T11:15:00+05:30,1111.42
2026-08-17T11:30:00+05:30,1111.36
2026-08-17T11:45:00+05:30,1111.31
2026-08-17T12:00:00+05:30,1111.29
2026-08-17T12:15:00+05:30,1111.29
2026-08-17T12:30:00+05:30,1111.28
2026-08-17T12:45:00+05:30,1111.26
2026-08-17T13:00:00+05:30,1111.11
2026-08-17T13:15:00+05:30,1111.10
2026-08-17T13:30:00+05:30,1111.24
2026-08-17T13:45:00+05:30,1111.30
2026-08-17T14:00:00+05:30,1111.52
2026-08-17T14:15:00+05:30,1111.74
2026-08-17T14:30:00+05:30,1111.80
2026-08-17T14:45:00+05:30,1400.01
2026-08-17T15:00:00+05:30,1757.18
2026-08-17T15:15:00+05:30,1780.95
2026-08-17T15:30:00+05:30,1840.91
2026-08-17T15:45:00+05:30,2000.44
2026-08-17T16:00:00+05:30,2280.59
2026-08-17T16:15:00+05:30,2519.65
2026-08-17T16:30:00+05:30,2840.06
2026-08-17T16:45:00+05:30,2986.99
2026-08-17T17:00:00+05:30,3086.73
2026-08-17T17:15:00+05:30,3069.36
2026-08-17T17:30:00+05:30,3049.50
2026-08-17T17:45:00+05:30,3195.81
2026-08-17T18:00:00+05:30,3400.80
2026-08-17T18:15:00+05:30,3619.64
2026-08-17T18:30:00+05:30,4586.06
2026-08-17T18:45:00+05:30,10000.00
2026-08-17T19:00:00+05:30,10000.00
2026-08-17T19:15:00+05:30,10000.00
2026-08-17T19:30:00+05:30,10000.00
2026-08-17T19:45:00+05:30,10000.00
2026-08-17T20:00:00+05:30,10000.00
2026-08-17T20:15:00+05:30,10000.00
2026-08-17T20:30:00+05:30,10000.00
2026-08-17T20:45:00+05:30,10000.00
2026-08-17T21:00:00+05:30,10000.00
2026-08-17T21:15:00+05:30,10000.00
2026-08-17T21:30:00+05:30,10000.00
2026-08-17T21:45:00+05:30,10000.00
2026-08-17T22:00:00+05:30,10000.00
2026-08-17T22:15:00+05:30,10000.00
2026-08-17T22:30:00+05:30,10000.00
2026-08-17T22:45:00+05:30,10000.00
2026-08-17T23:00:00+05:30,10000.00
2026-08-17T23:15:00+05:30,10000.00
2026-08-17T23:30:00+05:30,10000.00
2026-08-17T23:45:00+05:30,10000.00
2026-08-18T00:00:00+05:30,3741.02
2026-08-18T00:15:00+05:30,3690.15
2026-08-18T00:30:00+05:30,3619.41
2026-08-18T00:45:00+05:30,3630.00
2026-08-18T01:00:00+05:30,3329.30
2026-08-18T01:15:00+05:30,3325.35
2026-08-18T01:30:00+05:30,3329.03
2026-08-18T01:45:00+05:30,3301.65
2026-08-18T02:00:00+05:30,2999.40
2026-08-18T02:15:00+05:30,2998.16
2026-08-18T02:30:00+05:30,2845.40
2026-08-18T02:45:00+05:30,2842.31
2026-08-18T03:00:00+05:30,2550.27
2026-08-18T03:15:00+05:30,2478.59
2026-08-18T03:30:00+05:30,2420.47
2026-08-18T03:45:00+05:30,2390.71
2026-08-18T04:00:00+05:30,2516.60
2026-08-18T04:15:00+05:30,2516.93
2026-08-18T04:30:00+05:30,2584.71
2026-08-18T04:45:00+05:30,2629.28
2026-08-18T05:00:00+05:30,3199.23
2026-08-18T05:15:00+05:30,3799.78
2026-08-18T05:30:00+05:30,3998.56
2026-08-18T05:45:00+05:30,4098.10
2026-08-18T06:00:00+05:30,4419.26
2026-08-18T06:15:00+05:30,4800.92
2026-08-18T06:30:00+05:30,4913.70
2026-08-18T06:45:00+05:30,4949.90
2026-08-18T07:00:00+05:30,4254.94
2026-08-18T07:15:00+05:30,4020.83
2026-08-18T07:30:00+05:30,3720.90
2026-08-18T07:45:00+05:30,3410.76
2026-08-18T08:00:00+05:30,3099.99
2026-08-18T08:15:00+05:30,2999.99
2026-08-18T08:30:00+05:30,2570.90
2026-08-18T08:45:00+05:30,2420.90
2026-08-18T09:00:00+05:30,2390.37
2026-08-18T09:15:00+05:30,2279.74
2026-08-18T09:30:00+05:30,2100.35
2026-08-18T09:45:00+05:30,1850.66
2026-08-18T10:00:00+05:30,1760.09
2026-08-18T10:15:00+05:30,1699.23
2026-08-18T10:30:00+05:30,1523.53
2026-08-18T10:45:00+05:30,1400.74
2026-08-18T11:00:00+05:30,1400.55
2026-08-18T11:15:00+05:30,1400.08
2026-08-18T11:30:00+05:30,1212.32
2026-08-18T11:45:00+05:30,1111.99
2026-08-18T12:00:00+05:30,1111.80
2026-08-18T12:15:00+05:30,1111.78
2026-08-18T12:30:00+05:30,1111.75
2026-08-18T12:45:00+05:30,1111.74
2026-08-18T13:00:00+05:30,1111.66
2026-08-18T13:15:00+05:30,1111.64
2026-08-18T13:30:00+05:30,1111.73
2026-08-18T13:45:00+05:30,1111.83
2026-08-18T14:00:00+05:30,1400.02
2026-08-18T14:15:00+05:30,1524.10
2026-08-18T14:30:00+05:30,1600.19
2026-08-18T14:45:00+05:30,1699.34
2026-08-18T15:00:00+05:30,1760.90
2026-08-18T15:15:00+05:30,1840.91
2026-08-18T15:30:00+05:30,1998.00
2026-08-18T15:45:00+05:30,2129.68
