('agent', 'agent_mode', None)
('agent', 'job_seen', '76')
('planner', 'decision', '76')
('operator', 'mode_changed', None)
('agent', 'agent_mode', None)
('agent', 'job_seen', '79')
('agent', 'job_seen', '80')
('planner', 'decision', '79')
('planner', 'decision', '80')
('agent', 'release_all_on', None)
('agent', 'applied', '79')
('agent', 'applied', '80')
('agent', 'released', '79')
('agent', 'released', '80')
('operator', 'release_all_off', None)
('agent', 'job_seen', '83')
('agent', 'job_seen', '84')
('agent', 'job_seen', '85')
('agent', 'job_seen', '86')
('agent', 'job_seen', '87_[1-2]')
('agent', 'skipped', '87_[1-2]')
('agent', 'job_seen', '88')
('agent', 'skipped', '88')
('planner', 'measured', '79')
('planner', 'measured', '80')
('planner', 'decision', '83')
('planner', 'decision', '84')
('planner', 'decision', '85')
('planner', 'decision', '86')
('agent', 'applied', '83')
('agent', 'applied', '84')
('agent', 'applied', '85')
('agent', 'applied', '86')
('agent', 'override', '84')
('agent', 'job_seen', '87_[2]')
('agent', 'skipped', '87_[2]')
('planner', 'measured', '83')
('planner', 'measured', '84')
('planner', 'measured', '85')
('planner', 'measured', '86')
